policy,perturb_type,severity,perturb_value,episode_idx,ep_return,ep_len,track_err,fell,hit_ceiling,eval_seed
no_friction,nominal,none,,4,41.101226806640625,1000,0.05362774431705475,False,False,42
no_friction,nominal,none,,5,39.949703216552734,1000,0.08471480011940002,False,False,42
no_friction,nominal,none,,6,39.770729064941406,1000,0.07612451165914536,False,False,42
no_friction,nominal,none,,7,40.15875244140625,1000,0.07394424080848694,False,False,42
no_friction,nominal,none,,8,41.11859130859375,1000,0.053390808403491974,False,False,42
no_friction,nominal,none,,9,38.48134231567383,1000,0.07392557710409164,False,False,42
no_friction,nominal,none,,10,41.65468215942383,1000,0.05329965054988861,False,False,42
no_friction,nominal,none,,11,38.75630187988281,1000,0.07467536628246307,False,False,42
no_friction,nominal,none,,12,39.25567626953125,1000,0.08329302072525024,False,False,42
no_friction,nominal,none,,13,40.36605453491211,1000,0.06293732672929764,False,False,42
no_friction,nominal,none,,14,39.654850006103516,1000,0.08248484879732132,False,False,42
no_friction,nominal,none,,15,38.034603118896484,1000,0.10435381531715393,False,False,42
no_friction,nominal,none,,16,38.037208557128906,1000,0.09838385879993439,False,False,42
no_friction,nominal,none,,17,41.97923278808594,1000,0.06171921640634537,False,False,42
no_friction,nominal,none,,18,39.76659393310547,1000,0.08408231288194656,False,False,42
no_friction,nominal,none,,19,40.83052444458008,1000,0.056888651102781296,False,False,42
no_friction,nominal,none,,20,39.327842712402344,1000,0.08484595268964767,False,False,42
no_friction,nominal,none,,21,42.1439094543457,1000,0.04002262279391289,False,False,42
no_friction,nominal,none,,22,41.32834243774414,1000,0.059315551072359085,False,False,42
no_friction,nominal,none,,23,41.61528015136719,1000,0.05252345651388168,False,False,42
no_friction,nominal,none,,24,38.81718444824219,1000,0.061165086925029755,False,False,42
no_friction,nominal,none,,25,41.568660736083984,1000,0.05460718646645546,False,False,42
no_friction,nominal,none,,26,41.745426177978516,1000,0.060258567333221436,False,False,42
no_friction,nominal,none,,27,40.51494598388672,1000,0.07094801962375641,False,False,42
no_friction,nominal,none,,28,39.55290603637695,1000,0.07779273390769958,False,False,42
no_friction,nominal,none,,29,40.83549880981445,1000,0.05916793271899223,False,False,42
no_mass,nominal,none,,0,42.73250198364258,1000,0.03488028421998024,False,False,42
no_mass,nominal,none,,1,41.154457092285156,1000,0.06210708990693092,False,False,42
no_mass,nominal,none,,2,41.757408142089844,1000,0.0455310232937336,False,False,42
no_mass,nominal,none,,3,39.91105651855469,1000,0.11210835725069046,False,False,42
no_mass,nominal,none,,4,41.734493255615234,1000,0.046743907034397125,False,False,42
no_mass,nominal,none,,5,40.46144104003906,1000,0.06308052688837051,False,False,42
no_mass,nominal,none,,6,40.743553161621094,1000,0.05032969266176224,False,False,42
no_mass,nominal,none,,7,40.323951721191406,1000,0.06945227086544037,False,False,42
no_mass,nominal,none,,8,41.87480545043945,1000,0.04441982880234718,False,False,42
no_mass,nominal,none,,9,39.73225784301758,1000,0.06884931772947311,False,False,42
no_mass,nominal,none,,10,42.15243911743164,1000,0.04506436362862587,False,False,42
no_mass,nominal,none,,11,39.069156646728516,1000,0.07294385880231857,False,False,42
no_mass,nominal,none,,12,40.04904556274414,1000,0.07002405822277069,False,False,42
no_mass,nominal,none,,13,41.21017074584961,1000,0.06368853151798248,False,False,42
no_mass,nominal,none,,14,40.635196685791016,1000,0.04522287845611572,False,False,42
